customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,avg_monthly_charge,is_high_value,tenure_group,num_services,churn_binary
2446-ZKVAF,Male,False,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.8,1074.65,No,59.70277777777778,False,13-24m,1,0
0841-NULXI,Male,False,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,Yes,35.55,False,0-12m,1,1
3522-CDKHF,Female,False,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.5,2324.7,No,72.646875,True,25-48m,1,0
1430-SFQSA,Male,False,No,No,29,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,35.6,1072.6,No,36.98620689655172,False,25-48m,2,0
0411-EZJZE,Female,False,No,No,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5,No,56.833333333333336,False,0-12m,1,0
7851-WZEKY,Female,False,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,Yes,98.45,True,0-12m,2,1
8844-TONUD,Male,False,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.65,1162.85,Yes,89.44999999999999,True,13-24m,3,1
8807-ARQET,Female,False,No,No,41,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.35,1677.85,No,40.923170731707316,False,25-48m,2,0
8992-CEUEN,Female,False,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.85,18.85,No,18.85,False,0-12m,0,0
4320-QMLLA,Male,False,No,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,54.85,370.4,No,52.91428571428571,False,0-12m,1,0
8777-PVYGU,Female,False,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,No,65.58846153846153,False,49-72m,3,0
8292-ITGYJ,Female,False,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.65,1138.8,No,25.306666666666665,False,25-48m,0,0
6870-ZWMNX,Male,False,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.1,5264.25,No,75.20357142857142,True,49-72m,4,0
0621-CXBKL,Female,False,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.7,1005.7,No,18.975471698113207,False,49-72m,0,0
5268-DSMNQ,Female,True,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),97.95,5936.55,No,95.7508064516129,True,49-72m,3,0
5334-JLAXU,Female,False,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.1,5475.9,No,91.265,True,49-72m,3,0
4086-YQSNZ,Female,True,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.4,224.05,Yes,74.68333333333334,True,0-12m,1,1
6242-MBHPK,Female,True,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2326.05,No,101.13260869565218,True,13-24m,3,0
5868-CZJDR,Male,False,No,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,31.35,31.35,Yes,31.35,False,0-12m,1,1
9359-UGBTK,Female,False,No,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,4991.5,No,74.5,True,49-72m,4,0
0135-NMXAP,Female,False,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,87.7,True,0-12m,2,1
4782-OSFXZ,Female,True,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.7,5831.2,No,82.12957746478872,True,49-72m,5,0
6479-OAUSD,Male,False,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.9,510.8,No,20.432000000000002,False,25-48m,0,0
7129-ACFOG,Female,False,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.8,283.95,No,56.79,False,0-12m,1,0
4189-NAKJS,Male,False,No,No,26,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),51.55,1295.4,No,49.823076923076925,False,25-48m,0,0
5562-BETPV,Male,False,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,19.65,No,19.65,False,0-12m,0,0
1282-IHQAC,Male,True,No,No,70,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),44.05,3011.65,No,43.02357142857143,False,49-72m,3,0
9127-FHJBZ,Male,False,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.0,8093.15,No,112.4048611111111,True,49-72m,6,0
6270-OMFIW,Male,False,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.4,5610.25,Yes,93.50416666666666,True,49-72m,3,1
1641-RQDAY,Female,True,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,3217.65,No,100.5515625,True,25-48m,3,0
0107-WESLM,Male,False,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,Yes,19.85,False,0-12m,0,1
6994-ORCWG,Female,False,No,No,14,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,773.2,No,55.228571428571435,False,13-24m,1,0
1346-UFHAX,Female,False,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.35,No,79.18076923076923,True,13-24m,1,0
3992-YWPKO,Female,False,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9,669.45,Yes,111.575,True,0-12m,5,1
2933-XEUJM,Female,False,No,No,46,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,79.2,3593.8,No,78.12608695652175,True,25-48m,4,0
0125-LZQXK,Male,False,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,Yes,103.59666666666666,True,13-24m,4,1
5461-QKNTN,Male,True,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.3,3953.15,No,91.93372093023255,True,25-48m,3,0
4835-YSJMR,Male,False,No,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.8,1971.15,No,50.542307692307695,False,25-48m,1,0
8399-YNDCH,Male,True,No,No,21,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.05,1236.15,Yes,58.86428571428572,False,13-24m,2,1
3164-YAXFY,Male,False,No,No,57,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.75,3196.0,No,56.07017543859649,False,49-72m,4,0
0887-WBJVH,Female,False,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.45,4872.2,No,91.92830188679245,True,49-72m,3,0
4660-IRIBM,Male,False,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,87.9,1500.5,No,83.36111111111111,True,13-24m,3,0
5673-FSSMF,Female,False,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.15,60.15,Yes,60.15,False,0-12m,1,1
7670-ZBPOQ,Female,False,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),61.05,3478.75,No,59.97844827586207,False,49-72m,2,0
8089-UZWLX,Female,True,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),104.05,7413.55,No,104.41619718309859,True,49-72m,3,0
0080-OROZO,Female,False,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No,100.91428571428571,True,25-48m,4,0
3916-NRPAP,Male,False,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.7,256.75,No,85.58333333333333,True,0-12m,2,0
6807-SIWJI,Male,False,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.85,3887.25,No,102.29605263157895,True,25-48m,4,0
8221-HVAYI,Male,False,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.15,2490.15,No,71.14714285714285,False,25-48m,4,0
1579-KLYDT,Male,False,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.45,593.45,Yes,84.77857142857144,True,0-12m,2,1
5232-NXPAY,Female,False,No,No,47,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,74.45,3510.3,No,74.6872340425532,True,25-48m,4,0
8967-SZQAS,Female,False,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.45,765.45,No,54.675000000000004,False,13-24m,1,0
4468-KAZHE,Female,True,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.0,1259.35,No,62.967499999999994,False,13-24m,2,0
0455-ENTCR,Male,False,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35,No,83.91439393939395,True,49-72m,5,0
8944-AILEF,Male,False,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,340.85,No,22.723333333333336,False,13-24m,0,0
5542-NKVRU,Female,False,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.75,844.45,No,20.10595238095238,False,25-48m,0,0
7126-RBHSD,Female,False,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,78.9,1348.95,No,79.35000000000001,True,13-24m,1,0
5370-IIVVL,Male,False,No,No,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778.0,No,102.10810810810811,True,25-48m,4,0
6789-HJBWG,Female,False,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,611.65,No,50.97083333333333,False,0-12m,1,0
3927-NLNRY,Male,False,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.25,4867.95,Yes,91.84811320754717,True,49-72m,3,1
9087-EYCPR,Female,False,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0,1505.05,No,25.084166666666665,False,49-72m,0,0
6791-YBNAK,Male,False,Yes,Yes,18,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.55,467.85,No,25.991666666666667,False,13-24m,0,0
6358-LYNGM,Male,False,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,Yes,74.9,True,0-12m,0,1
6077-BDPXA,Female,False,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,194.2,No,64.73333333333333,False,0-12m,0,0
0013-MHZWF,Female,False,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No,63.49444444444445,False,0-12m,3,0
5494-HECPR,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25,Yes,80.25,True,0-12m,1,1
8268-YDIXR,Male,False,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,93.15,5253.95,No,93.82053571428571,True,49-72m,3,0
9824-BEMCV,Male,False,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,1149.65,Yes,67.62647058823529,False,13-24m,0,1
1373-ORVIZ,Female,False,Yes,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.35,740.8,Yes,67.34545454545454,False,0-12m,2,1
4291-SHSBH,Male,False,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,521.35,No,74.47857142857143,False,0-12m,0,0
6980-IMXXE,Female,False,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.2,1412.65,No,20.473188405797103,False,49-72m,0,0
9866-QEVEE,Male,False,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.0,1532.45,Yes,80.65526315789474,True,13-24m,1,1
9897-KXHCM,Female,False,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.3,250.05,Yes,83.35000000000001,True,0-12m,1,1
0040-HALCW,Male,False,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No,20.196296296296296,False,49-72m,0,0
0784-GTUUK,Male,False,Yes,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.75,1446.8,No,23.335483870967742,False,49-72m,0,0
7979-CORPM,Male,False,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.55,2282.55,Yes,95.10625,True,13-24m,2,1
2294-DMMUS,Female,False,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.45,4300.45,No,69.36209677419355,True,49-72m,2,0
0872-JCPIB,Male,False,No,No,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.75,1111.2,No,65.36470588235295,False,13-24m,2,0
3055-MJDSB,Male,False,No,No,9,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.6,190.1,No,21.12222222222222,False,0-12m,0,0
9091-WTUUY,Male,False,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,69.25,4447.75,No,69.49609375,False,49-72m,4,0
1618-CFHME,Female,False,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.9,143.35,Yes,71.675,True,0-12m,0,1
3165-HDOEW,Male,False,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,Yes,45.85,False,0-12m,0,1
6581-NQCBA,Female,False,Yes,No,16,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,49.95,810.2,Yes,50.6375,False,13-24m,3,1
7115-IRDHS,Female,False,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.65,1830.05,No,25.41736111111111,False,49-72m,0,0
8496-DMZUK,Male,False,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),90.4,2820.65,No,94.02166666666668,True,25-48m,3,0
2040-VZIKE,Female,False,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.85,4847.35,No,98.92551020408165,True,49-72m,3,0
9068-VPWQQ,Male,False,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),75.35,4729.3,No,77.52950819672131,True,49-72m,4,0
0178-SZBHO,Male,False,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,No,85.47765957446808,True,25-48m,2,0
0384-RVBPI,Male,False,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),64.4,1398.6,No,69.92999999999999,False,13-24m,3,0
1689-MRZQR,Male,False,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.3,2564.3,Yes,75.42058823529412,True,25-48m,1,1
1299-AURJA,Female,False,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.7,1685.9,No,24.084285714285716,False,49-72m,0,0
4525-VZCZG,Male,False,No,Yes,54,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,105.85,5826.65,No,107.90092592592592,True,49-72m,5,0
1543-LLLFT,Male,True,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,98.3,6066.55,No,99.4516393442623,True,49-72m,4,0
5835-BEQEU,Male,False,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.95,228.4,Yes,76.13333333333334,True,0-12m,0,1
2788-CJQAQ,Male,False,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,270.2,No,20.784615384615385,False,13-24m,0,0
5565-FILXA,Female,True,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,Yes,95.575,True,13-24m,2,1
0319-QZTCO,Female,False,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.7,168.6,No,56.199999999999996,False,0-12m,2,0
2120-SMPEX,Male,False,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,536.35,No,21.454,False,25-48m,0,0
0096-FCPUF,Male,False,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,No,62.94833333333334,False,25-48m,2,0
0668-OGMHD,Female,False,Yes,No,21,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.5,629.35,No,29.969047619047622,False,13-24m,1,0
5552-ZNFSJ,Male,False,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.3,45.3,Yes,45.3,False,0-12m,0,1
2223-KAGMX,Female,False,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,289.3,Yes,19.28666666666667,False,13-24m,0,1
6507-ZJSUR,Male,True,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.45,2117.25,No,92.05434782608695,True,13-24m,2,0
9408-HRXRK,Female,False,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.15,4730.9,No,105.1311111111111,True,25-48m,4,0
5593-SUAOO,Female,False,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),83.15,2033.05,No,84.71041666666666,True,13-24m,2,0
7321-PKUYW,Female,False,No,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.15,987.95,Yes,89.81363636363636,True,0-12m,2,1
2833-SLKDQ,Male,False,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.05,45.05,Yes,45.05,False,0-12m,0,1
6766-HFKLA,Female,False,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.2,5744.35,No,102.57767857142858,True,49-72m,4,0
7595-EUIVN,Female,False,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.8,75.8,Yes,75.8,True,0-12m,1,1
7617-EYGLW,Male,False,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,19.45,False,0-12m,0,0
2026-TGDHM,Female,False,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.3,523.15,Yes,74.73571428571428,True,0-12m,1,1
9220-ZNKJI,Female,True,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),88.8,4805.3,No,87.36909090909091,True,49-72m,3,0
4030-VPZBD,Female,False,No,No,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,30.9,59.05,Yes,29.525,False,0-12m,1,1
2226-ICFDO,Female,False,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.9,6110.75,No,84.87152777777777,True,49-72m,5,0
0723-VSOBE,Female,True,No,No,45,No,No phone service,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,34.2,1596.6,No,35.48,False,25-48m,1,0
5529-GIBVH,Female,False,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,1046.2,No,22.25957446808511,False,25-48m,0,0
4187-CINZD,Female,True,No,No,46,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),95.25,4424.2,Yes,96.17826086956521,True,25-48m,3,1
9992-UJOEL,Male,False,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,No,46.375,False,0-12m,1,0
4741-WWJQZ,Female,False,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.15,194.55,No,97.275,True,0-12m,2,0
6625-UTXEW,Female,False,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.25,612.1,No,51.00833333333333,False,0-12m,1,0
6818-WOBHJ,Female,True,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.6,6127.6,Yes,90.11176470588236,True,49-72m,2,1
6244-BESBM,Male,False,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.2,6671.7,No,96.69130434782609,True,49-72m,3,0
1004-NOZNR,Male,True,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),94.8,5264.3,No,94.00535714285715,True,49-72m,3,0
1251-STYSZ,Female,True,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,303.7,No,75.925,True,0-12m,1,0
2612-PHGOX,Male,False,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.1,4818.8,No,75.29375,True,49-72m,4,0
2408-TZMJL,Male,False,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.15,6448.05,Yes,109.28898305084746,True,49-72m,5,1
8480-PPONV,Male,False,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),115.55,7159.05,No,115.46854838709677,True,49-72m,6,0
8780-IHCRN,Male,False,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.65,1574.5,No,24.99206349206349,False,49-72m,0,0
4598-ZADCK,Female,False,No,No,53,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,53.6,2879.2,No,54.32452830188679,False,49-72m,5,0
1257-SXUXQ,Male,False,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.45,86.05,No,17.21,False,0-12m,0,0
9681-KYGYB,Male,True,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,88.2,4159.45,No,84.88673469387754,True,49-72m,3,0
7182-OVLBJ,Female,False,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.15,6638.35,No,107.07016129032259,True,49-72m,3,0
5095-ETBRJ,Female,False,Yes,No,55,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,56.8,3112.05,No,56.582727272727276,False,49-72m,3,0
7005-CYUIL,Female,True,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,99.4,7168.25,No,100.96126760563381,True,49-72m,5,0
4821-WQOYN,Female,False,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.1,1326.25,No,18.42013888888889,False,49-72m,0,0
4730-AWNAU,Male,False,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),60.7,2234.55,No,62.07083333333334,False,25-48m,5,0
3452-FLHYD,Male,False,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.95,495.15,No,19.805999999999997,False,25-48m,0,0
2388-LAESQ,Female,True,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,No,115.52708333333334,True,49-72m,6,0
9531-NSBMR,Female,False,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.25,679.8,No,18.883333333333333,False,25-48m,0,0
6260-ONULR,Male,False,No,No,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.8,62.8,No,62.8,False,0-12m,2,0
4389-UEFCZ,Female,False,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,105.5,7544.0,No,104.77777777777777,True,49-72m,4,0
